,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy
0,2720548.0,7093.779454231262,2185,1923,1.1362454498179928,1.5444517060533391,18.49690097189007,175.42294735699065,174.49190971238033,152.28776640382233,54.742161609264556,47.5263912541457,73.12347320984269,9.332967275391436,0.998306844322614,0.4128680569706666,9.786245310838892
0,3236207.0,7833.180593013763,1742,2910,0.5986254295532646,1.5664078348511081,18.960072147043576,173.38362872155034,173.63519120514718,147.29817126020933,59.620964607657626,52.06288344506704,78.6820883281009,9.00231350307045,0.9986275902554342,0.4013625422592396,9.953432397317957
0,4004079.0,7937.671805143356,2233,2288,0.9759615384615384,1.2759748246725402,15.73561203117316,166.90768535905875,168.15517411632862,137.36485267332242,65.46374169821904,57.01525352107155,85.73786362999927,7.686357895550345,0.9990239520119227,0.4314486078469193,9.766507690623166
0,3601065.5,8576.67807149887,1732,3285,0.5272450532724505,1.5799823691071435,20.427122678587654,165.45515464577034,165.71965824331275,138.4459940515558,58.581270456569065,50.44171962525179,78.78688229851572,9.13908012154117,0.9985443770075486,0.39499624251571597,9.891588713367558
0,3471506.5,8028.913571715355,2554,2026,1.2606120434353405,1.4905355931207387,18.569302158032837,168.42252095668513,169.27116303697406,143.08784404000798,59.94058323892678,52.47004206993358,80.23259753403262,9.162804124331945,0.9986284612947706,0.3953140950134867,10.028587267852584
0,4213173.0,8107.665875554085,2487,2265,1.0980132450331126,1.3370101346419907,15.602076142998206,161.9058608348818,163.7280888966312,132.16270054511003,63.634586890653004,55.47009343375783,84.46260678663684,8.42401895957889,0.9988721793558095,0.3966676658808762,10.10382804873446
0,3675623.5,8330.257594943047,2440,2218,1.1000901713255185,1.4723814884739963,18.879298055991402,170.14810878054925,171.4060977786176,143.1134184624853,60.17117747701663,52.091786901130675,82.6987416680383,9.151090252048231,0.9986349199869125,0.40298548927826194,9.706843020689917
0,3525039.5,7562.3551334142685,2512,1888,1.3305084745762712,1.3454192499119513,16.223709029041274,169.0958509175275,169.13556946215985,141.11372889240573,60.71162094421237,52.58314054026578,80.00040054461,8.626625250141968,0.9987190224725022,0.40487800263671136,9.994601011319917
0,4158122.5,8126.870736479759,2209,2364,0.9344331641285956,1.2558735342693728,15.883617658558897,164.87637384718548,167.287381667559,135.5522455606471,65.5825263599568,57.64145816007292,87.0008320818074,7.740300075247741,0.9990326689765102,0.41283713575813263,9.818518749268307
0,4910304.0,9671.332839369774,2434,2948,0.8256445047489823,1.4613009703676187,19.048653380701523,157.06203267379482,159.22048693126942,122.95181717555849,64.91651952541633,55.5540365710534,87.08863253568651,7.963623892869792,0.9989590301105798,0.40109041481126884,9.886404256719924
0,3804757.0,8238.86776316166,2126,2549,0.8340525696351511,1.4243154030599063,17.840545932069883,176.4966201276035,176.44384638500463,145.65191775977365,65.31245129511397,56.03448770623956,86.13925009332753,8.707281653273672,0.9988734542447988,0.4043571248996132,9.974188671854984
0,4463559.5,9186.948057770729,2093,3060,0.6839869281045752,1.4348593314371636,18.908679186684385,165.7635433561928,167.35041772303057,133.1137026473398,65.03062131795531,55.74463734002345,87.64512250448826,8.78790330127886,0.998859658121348,0.38752394232120224,9.952003399955219
0,2936570.0,7372.299229025841,2140,2070,1.0338164251207729,1.5084946042491751,18.508258247647767,177.91898500816222,176.04749577782502,151.44688064268917,56.87328350254026,48.422637545027854,75.66284767044671,9.025030441182018,0.9984505052046397,0.440023621185912,9.582868528981336
0,3869819.0,8369.032531023026,2697,2259,1.1938911022576362,1.5743689821151843,18.09922001657485,160.99639770066977,162.16802755535085,132.82163024835705,59.185442944009836,51.189580192784504,79.57252768648324,9.023125324426147,0.9985959029292589,0.393352207460112,9.999009638568388
0,4047951.5,8683.638530373573,1919,3155,0.6082408874801902,1.49568121060739,18.628083396302678,167.22288023523453,169.05575780659487,137.27721137644872,63.6965777930319,55.60539427726032,84.62515397289457,7.1537484961953215,0.9990456784218316,0.43381295475678633,9.791198119227772
0,4685330.0,9439.292419791222,2323,3187,0.728898650768748,1.5801237052672918,19.01685503183938,159.48214810615605,163.28182919579868,129.42820432571176,65.26011062499094,57.549131853112044,88.64899954056825,6.598615880492422,0.9991762247725979,0.4343799071528384,9.777082812879431
0,3626992.5,8088.251661300659,1971,2791,0.706198495163024,1.5167004067419494,18.036931407090826,177.06206498803226,177.74821771397603,147.4613916216564,61.20524137299079,52.14484142458508,83.89842405154158,8.13029240638506,0.9988069552658803,0.41802278464780457,9.750296211806193
0,3176720.5,7797.943000197411,2083,2324,0.8962994836488812,1.523864627057999,19.14172651774929,177.8139754648001,178.80475795159884,152.23571858334384,60.10953251859714,52.8433398601195,80.56605788204241,7.708519038669266,0.9988564485702012,0.42138024902784343,9.777012005285158
0,3964789.0,8695.860958695412,2210,2891,0.7644413697682463,1.6114628041996686,19.072388924848987,169.05832637839086,171.11196399373793,140.27105633437787,63.775137976862915,55.8881364123124,85.36408541443059,7.129572550469423,0.9990567636727993,0.4264643928450007,9.75862924282317
0,4383141.0,9597.008149147034,1935,3680,0.5258152173913043,1.6245883944869672,21.012914121356026,159.56080063198118,162.0611387832525,128.86987745522592,61.91481627894103,53.77259247723626,83.7061560688681,7.657119901756252,0.998918702237969,0.4099409426977171,9.899838910718165
0,3323817.0,8198.376564383507,1719,2973,0.5782038345105953,1.537565696306385,20.221744545934,173.63487905289432,174.22541928133137,146.6947650443279,58.20506781972773,50.125138800444034,79.3305461155298,8.840731352333568,0.998578420622507,0.39956052344652976,9.890896179291857
0,4446175.5,8745.32394683361,2344,2895,0.809671848013817,1.5262285530564415,17.201455708408584,170.33746291244123,172.10537713831675,136.22254880926135,66.53676237622457,56.85051728445022,89.35470697634264,7.543033808121471,0.9990603254505643,0.4177495939805316,9.863094273484101
0,3447562.0,8153.172243714333,2483,2037,1.218949435444281,1.467086306207111,19.28151477353382,173.40926071914106,172.7515853660137,145.03892430332473,60.38925851950826,51.47715378504782,80.44665435543617,8.672168152495612,0.9986818268307676,0.41870888592373917,9.638848386971041
0,3284299.5,7921.6831241846085,2168,2304,0.9409722222222222,1.520894181544649,19.10698568141889,174.7311124922577,174.94271809321722,147.54578443549488,59.744619244589856,51.89711914432475,79.63900584195244,8.101259665166246,0.9987650820064781,0.4148893879737837,9.8411449796983
0,3446531.0,8217.808005928993,2007,2662,0.7539444027047333,1.5501482505162438,19.59430175510119,172.96843136849648,173.32803306025343,144.87866922424834,60.6929133926033,52.49009529306411,80.49275331145141,7.60694634726686,0.9988707294832668,0.4311813655426493,9.792081260813841
0,4588378.0,9227.934112906456,2328,3118,0.7466324567030147,1.5819760272584342,18.558795284987998,160.5756076880984,162.9679609256897,128.27387931928172,64.48361815006272,55.886990805521684,86.00142515769727,6.9773426492783015,0.9990854093184236,0.4255250008939697,9.790826517557596
